
[32m[I 2023-04-20 22:25:25,484][39m Trial 29 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09980062799655558, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5858272652145362}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:26,160][39m Trial 30 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09427010928161565, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3393621620189602}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:27,021][39m Trial 31 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0765567034189988, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5500165815297142}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:27,793][39m Trial 32 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09424120356332129, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.48544580491674155}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:28,564][39m Trial 33 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08765653458801738, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.38497903578787646}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:29,109][39m Trial 34 finished with value: 0.8305084745762712 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04542105387664712, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.637390560161834}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:29,673][39m Trial 35 finished with value: 0.8275862068965517 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05840102648802427, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.32615843048027254}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:30,262][39m Trial 36 finished with value: 0.8347826086956522 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.06686162642571174, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.27865058740393045}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:31,409][39m Trial 37 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09503360014076209, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.48932046946708824}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:31,915][39m Trial 38 finished with value: 0.7758620689655173 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.010932715926170018, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:34,968][39m Trial 39 finished with value: 0.8347826086956522 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07393551747253548, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8343729969692857}. Best is trial 27 with value: 0.875.
