[32m[I 2023-04-20 22:40:51,012][39m A new study created in memory with name: no-name-b280dc0f-abca-433f-9545-7124f84e8bda
[32m[I 2023-04-20 22:42:30,076][39m Trial 35 finished with value: 0.8539325842696629 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09510373534501039, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.318383701626589}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:30,707][39m Trial 36 finished with value: 0.8222222222222222 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.054737162382861235, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:31,432][39m Trial 37 finished with value: 0.8505747126436782 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09586841438049878, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.189957461544953}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:32,131][39m Trial 38 finished with value: 0.8505747126436782 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0951917205410063, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.767571429996714}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:32,819][39m Trial 39 finished with value: 0.8314606741573034 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08551705374820227, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:33,440][39m Trial 40 finished with value: 0.8372093023255814 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09528828362571429, 'depth': 1, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.909615658619497}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:34,128][39m Trial 41 finished with value: 0.8505747126436782 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09505580854923766, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.909064917561814}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:34,845][39m Trial 42 finished with value: 0.8505747126436782 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09985672547212313, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.3417534723605895}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:35,587][39m Trial 43 finished with value: 0.8505747126436782 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09950970533262167, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.3186828794750145}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:36,265][39m Trial 44 finished with value: 0.8539325842696629 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0937644635962857, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.54915237089449}. Best is trial 20 with value: 0.8539325842696629.
