[32m[I 2023-04-26 02:19:33,938][39m Trial 43 finished with value: 0.8505747126436782 and parameters: {'criterion': 'entropy', 'n_estimators': 157, 'max_features': 0.7541395659868145, 'max_depth': 48, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:34,066][39m Trial 44 finished with value: 0.8470588235294119 and parameters: {'criterion': 'entropy', 'n_estimators': 88, 'max_features': 0.9472535968457555, 'max_depth': 44, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:34,265][39m Trial 45 finished with value: 0.8 and parameters: {'criterion': 'entropy', 'n_estimators': 157, 'max_features': 0.7426950777409327, 'max_depth': 42, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:34,442][39m Trial 46 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 129, 'max_features': 0.9364308284149565, 'max_depth': 34, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:34,560][39m Trial 47 finished with value: 0.8314606741573034 and parameters: {'criterion': 'entropy', 'n_estimators': 90, 'max_features': 0.862537918795983, 'max_depth': 25, 'min_samples_split': 4, 'min_samples_leaf': 6}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:34,751][39m Trial 48 finished with value: 0.7692307692307694 and parameters: {'criterion': 'entropy', 'n_estimators': 144, 'max_features': 0.8227824240578918, 'max_depth': 48, 'min_samples_split': 6, 'min_samples_leaf': 1}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:34,875][39m Trial 49 finished with value: 0.7901234567901235 and parameters: {'criterion': 'gini', 'n_estimators': 121, 'max_features': 0.7111997887741321, 'max_depth': 22, 'min_samples_split': 7, 'min_samples_leaf': 3}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:34,967][39m Trial 50 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 64, 'max_features': 0.881597325209767, 'max_depth': 49, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:35,153][39m Trial 51 finished with value: 0.8409090909090909 and parameters: {'criterion': 'entropy', 'n_estimators': 166, 'max_features': 0.6463550379413225, 'max_depth': 34, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:35,293][39m Trial 52 finished with value: 0.7749999999999999 and parameters: {'criterion': 'entropy', 'n_estimators': 188, 'max_features': 0.003822962230473459, 'max_depth': 33, 'min_samples_split': 5, 'min_samples_leaf': 3}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:35,465][39m Trial 53 finished with value: 0.8409090909090909 and parameters: {'criterion': 'entropy', 'n_estimators': 152, 'max_features': 0.6722018841745379, 'max_depth': 16, 'min_samples_split': 5, 'min_samples_leaf': 5}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:35,639][39m Trial 54 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 153, 'max_features': 0.6854323663373343, 'max_depth': 16, 'min_samples_split': 4, 'min_samples_leaf': 5}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:35,807][39m Trial 55 finished with value: 0.8089887640449439 and parameters: {'criterion': 'entropy', 'n_estimators': 140, 'max_features': 0.779637324398574, 'max_depth': 55, 'min_samples_split': 4, 'min_samples_leaf': 6}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:35,948][39m Trial 56 finished with value: 0.8314606741573034 and parameters: {'criterion': 'entropy', 'n_estimators': 104, 'max_features': 0.9611152747640661, 'max_depth': 16, 'min_samples_split': 10, 'min_samples_leaf': 5}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:36,134][39m Trial 57 finished with value: 0.7848101265822786 and parameters: {'criterion': 'entropy', 'n_estimators': 148, 'max_features': 0.743487508004741, 'max_depth': 44, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:36,272][39m Trial 58 finished with value: 0.7999999999999999 and parameters: {'criterion': 'entropy', 'n_estimators': 132, 'max_features': 0.5567627602803132, 'max_depth': 59, 'min_samples_split': 4, 'min_samples_leaf': 7}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:36,439][39m Trial 59 finished with value: 0.810126582278481 and parameters: {'criterion': 'entropy', 'n_estimators': 160, 'max_features': 0.4766207022291742, 'max_depth': 41, 'min_samples_split': 7, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:36,569][39m Trial 60 finished with value: 0.6612903225806451 and parameters: {'criterion': 'entropy', 'n_estimators': 173, 'max_features': 0.8277009781325361, 'max_depth': 1, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:36,750][39m Trial 61 finished with value: 0.8604651162790697 and parameters: {'criterion': 'entropy', 'n_estimators': 164, 'max_features': 0.650742030849369, 'max_depth': 37, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:36,927][39m Trial 62 finished with value: 0.8604651162790697 and parameters: {'criterion': 'entropy', 'n_estimators': 155, 'max_features': 0.6723336614548022, 'max_depth': 39, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:37,002][39m Trial 63 finished with value: 0.7317073170731707 and parameters: {'criterion': 'entropy', 'n_estimators': 95, 'max_features': 0.0890407138050116, 'max_depth': 38, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:37,241][39m Trial 64 finished with value: 0.8470588235294119 and parameters: {'criterion': 'entropy', 'n_estimators': 177, 'max_features': 0.9081167681968406, 'max_depth': 46, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:37,508][39m Trial 65 finished with value: 0.8333333333333333 and parameters: {'criterion': 'entropy', 'n_estimators': 201, 'max_features': 0.915653692034959, 'max_depth': 51, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:37,705][39m Trial 66 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 178, 'max_features': 0.5692129330486984, 'max_depth': 46, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:37,967][39m Trial 67 finished with value: 0.7901234567901235 and parameters: {'criterion': 'entropy', 'n_estimators': 188, 'max_features': 0.965477469568794, 'max_depth': 30, 'min_samples_split': 8, 'min_samples_leaf': 1}. Best is trial 61 with value: 0.8604651162790697.
