[32m[I 2023-04-26 00:16:19,352][39m Trial 61 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 154, 'max_features': 0.24222157941652067, 'max_depth': 74, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:19,464][39m Trial 62 finished with value: 0.8392857142857144 and parameters: {'criterion': 'entropy', 'n_estimators': 120, 'max_features': 0.7422119664170823, 'max_depth': 87, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:19,571][39m Trial 63 finished with value: 0.8771929824561403 and parameters: {'criterion': 'entropy', 'n_estimators': 132, 'max_features': 0.2552609435112414, 'max_depth': 68, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:19,694][39m Trial 64 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 151, 'max_features': 0.24812215725178116, 'max_depth': 75, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:19,828][39m Trial 65 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 169, 'max_features': 0.2786718081724215, 'max_depth': 70, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:19,970][39m Trial 66 finished with value: 0.8347826086956522 and parameters: {'criterion': 'entropy', 'n_estimators': 179, 'max_features': 0.2058922218338644, 'max_depth': 80, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:20,076][39m Trial 67 finished with value: 0.8448275862068967 and parameters: {'criterion': 'entropy', 'n_estimators': 131, 'max_features': 0.09737244660737226, 'max_depth': 63, 'min_samples_split': 7, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:20,198][39m Trial 68 finished with value: 0.8596491228070176 and parameters: {'criterion': 'entropy', 'n_estimators': 124, 'max_features': 0.903579051805565, 'max_depth': 57, 'min_samples_split': 2, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:20,308][39m Trial 69 finished with value: 0.8571428571428572 and parameters: {'criterion': 'gini', 'n_estimators': 121, 'max_features': 0.8295082084513383, 'max_depth': 51, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:20,430][39m Trial 70 finished with value: 0.831858407079646 and parameters: {'criterion': 'entropy', 'n_estimators': 153, 'max_features': 0.24630588000906573, 'max_depth': 67, 'min_samples_split': 5, 'min_samples_leaf': 6}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:20,563][39m Trial 71 finished with value: 0.8695652173913043 and parameters: {'criterion': 'entropy', 'n_estimators': 160, 'max_features': 0.3546069115970637, 'max_depth': 75, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:20,695][39m Trial 72 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 163, 'max_features': 0.327536547080145, 'max_depth': 77, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:20,827][39m Trial 73 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 159, 'max_features': 0.3717470602678845, 'max_depth': 70, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
