[32m[I 2023-04-26 14:57:26,772][39m Trial 44 finished with value: 0.8095238095238095 and parameters: {'criterion': 'entropy', 'n_estimators': 185, 'max_features': 0.6545810799110038, 'max_depth': 58, 'min_samples_split': 7, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,824][39m Trial 45 finished with value: 0.7640449438202247 and parameters: {'criterion': 'gini', 'n_estimators': 58, 'max_features': 0.03623421139425942, 'max_depth': 35, 'min_samples_split': 3, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,907][39m Trial 46 finished with value: 0.8505747126436782 and parameters: {'criterion': 'entropy', 'n_estimators': 77, 'max_features': 0.7830526181269188, 'max_depth': 51, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,975][39m Trial 47 finished with value: 0.8470588235294119 and parameters: {'criterion': 'entropy', 'n_estimators': 67, 'max_features': 0.5729521368939937, 'max_depth': 92, 'min_samples_split': 7, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,059][39m Trial 48 finished with value: 0.7999999999999999 and parameters: {'criterion': 'gini', 'n_estimators': 85, 'max_features': 0.9021971659711845, 'max_depth': 50, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,209][39m Trial 49 finished with value: 0.8051948051948052 and parameters: {'criterion': 'entropy', 'n_estimators': 148, 'max_features': 0.8275268371420432, 'max_depth': 73, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,293][39m Trial 50 finished with value: 0.8470588235294119 and parameters: {'criterion': 'entropy', 'n_estimators': 76, 'max_features': 0.9731880156167458, 'max_depth': 59, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,357][39m Trial 51 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 57, 'max_features': 0.776229131012649, 'max_depth': 47, 'min_samples_split': 5, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,453][39m Trial 52 finished with value: 0.7749999999999999 and parameters: {'criterion': 'entropy', 'n_estimators': 95, 'max_features': 0.6667139484994631, 'max_depth': 41, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,523][39m Trial 53 finished with value: 0.6909090909090908 and parameters: {'criterion': 'entropy', 'n_estimators': 80, 'max_features': 0.7184770312659164, 'max_depth': 2, 'min_samples_split': 6, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,589][39m Trial 54 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 65, 'max_features': 0.5956804008770981, 'max_depth': 63, 'min_samples_split': 9, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,650][39m Trial 55 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 55, 'max_features': 0.8563308311937251, 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,718][39m Trial 56 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 72, 'max_features': 0.43609649542711176, 'max_depth': 45, 'min_samples_split': 5, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,808][39m Trial 57 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 89, 'max_features': 0.7972620085616159, 'max_depth': 52, 'min_samples_split': 8, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,876][39m Trial 58 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 64, 'max_features': 0.728557256664693, 'max_depth': 68, 'min_samples_split': 3, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:27,955][39m Trial 59 finished with value: 0.7594936708860759 and parameters: {'criterion': 'gini', 'n_estimators': 84, 'max_features': 0.6800352554082494, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,029][39m Trial 60 finished with value: 0.8604651162790697 and parameters: {'criterion': 'entropy', 'n_estimators': 75, 'max_features': 0.6098693718321915, 'max_depth': 31, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,104][39m Trial 61 finished with value: 0.8604651162790697 and parameters: {'criterion': 'entropy', 'n_estimators': 76, 'max_features': 0.610219032367192, 'max_depth': 29, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
