
[32m[I 2023-04-25 23:56:24,969][39m Trial 29 finished with value: 0.8448275862068967 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03205093245995603, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:26,518][39m Trial 30 finished with value: 0.8521739130434783 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.035418856156757196, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.442163472924183}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:30,051][39m Trial 31 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03769341334848069, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4116632248433836}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:33,266][39m Trial 32 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.02163662948945149, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.22103086993656512}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:34,809][39m Trial 33 finished with value: 0.8376068376068375 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04449020577849078, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5956830132706376}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:37,888][39m Trial 34 finished with value: 0.7868852459016394 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.010471308196293057, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.38434146958505183}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:39,302][39m Trial 35 finished with value: 0.8521739130434783 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.024716782911009098, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5089344380376565}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:43,544][39m Trial 36 finished with value: 0.8521739130434783 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05551355519572213, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.46161860132996996}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:47,570][39m Trial 37 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.034480782944962284, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.23211589979750952}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:52,118][39m Trial 38 finished with value: 0.8495575221238938 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.051064988766383185, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2018451602311076}. Best is trial 2 with value: 0.8672566371681416.
