[32m[I 2023-04-26 00:20:35,725][39m Trial 69 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,732][39m Trial 70 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,741][39m Trial 71 finished with value: 0.8173913043478261 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,747][39m Trial 72 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,757][39m Trial 73 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'auto', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,764][39m Trial 74 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,772][39m Trial 75 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,779][39m Trial 76 finished with value: 0.8440366972477066 and parameters: {'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,787][39m Trial 77 finished with value: 0.831858407079646 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,793][39m Trial 78 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
