[32m[I 2023-04-26 13:01:06,031][39m A new study created in memory with name: no-name-ef779f35-aa5f-4ca8-8cd5-80751089e0e7
[32m[I 2023-04-26 13:02:09,375][39m Trial 29 finished with value: 0.7368421052631579 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07624292942047689, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.50441277434352}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:11,059][39m Trial 30 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06536250886933559, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.179168425565148}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:12,679][39m Trial 31 finished with value: 0.7252747252747254 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06510092042465083, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.008702961323948}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:14,121][39m Trial 32 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06631212215880422, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.214322823154328}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:15,650][39m Trial 33 finished with value: 0.7311827956989247 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0779727290164814, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.333492240280865}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:17,600][39m Trial 34 finished with value: 0.7391304347826086 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.089865478624326, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.502748978689851}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:19,111][39m Trial 35 finished with value: 0.7096774193548387 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07094262430084688, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.953586513336782}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:20,431][39m Trial 36 finished with value: 0.7659574468085106 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05317606998261283, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.045678433237837}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:21,810][39m Trial 37 finished with value: 0.7096774193548387 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0598516231011359, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5692328044028105}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:23,171][39m Trial 38 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05201843312996135, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.620851602035902}. Best is trial 28 with value: 0.7789473684210526.
