
[32m[I 2023-04-26 11:20:11,237][39m Trial 32 finished with value: 0.8468468468468469 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0761609965154335, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.492604640074869}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:16,627][39m Trial 33 finished with value: 0.8596491228070176 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06170267489292168, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.498855798148066}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:18,140][39m Trial 34 finished with value: 0.8620689655172413 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08538783449922756, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.20658471802422534}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:23,174][39m Trial 35 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07021197678343724, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.353609539255773}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:24,945][39m Trial 36 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.054130249990627585, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.401722162386781}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:28,341][39m Trial 37 finished with value: 0.823529411764706 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0780248056712583, 'depth': 1, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:30,522][39m Trial 38 finished with value: 0.831858407079646 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.06444865358414271, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.120220697909033}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:36,419][39m Trial 39 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09040912388664908, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.961704537299154}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:40,581][39m Trial 40 finished with value: 0.8421052631578947 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05771924095407169, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.691723932346436}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:45,055][39m Trial 41 finished with value: 0.8695652173913043 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08544355265384278, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.447392604502852}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:50,691][39m Trial 42 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08357485038818863, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.640474283513809}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:55,772][39m Trial 43 finished with value: 0.8521739130434783 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09259390202898166, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.471339506928247}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:05,209][39m Trial 44 finished with value: 0.8495575221238938 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08793920230580282, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.35937569199114}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:10,272][39m Trial 45 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07253738437464388, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.705917938108132}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:11,779][39m Trial 46 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09737111911932117, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:16,420][39m Trial 47 finished with value: 0.8468468468468469 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07569118998998466, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.9808953418523485}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:21,664][39m Trial 48 finished with value: 0.8392857142857144 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07116683184087687, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.887612882928909}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:26,896][39m Trial 49 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04827560612506063, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.183335301859499}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:33,109][39m Trial 50 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08035828878686506, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.831237415200235}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:39,348][39m Trial 51 finished with value: 0.8495575221238938 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08056711264269753, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.765646589098177}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:44,745][39m Trial 52 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07713312597251169, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.130346985361252}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:21:53,538][39m Trial 53 finished with value: 0.875 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09502468761446872, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.160269322204657}. Best is trial 21 with value: 0.8771929824561403.
