
[32m[I 2023-04-26 14:23:17,105][39m Trial 32 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07832353606808372, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.21070562122618292}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:19,734][39m Trial 33 finished with value: 0.8433734939759037 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08083878088181187, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.19693959990522353}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:23,640][39m Trial 34 finished with value: 0.8674698795180722 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09365517633047565, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.39655430676090836}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:27,771][39m Trial 35 finished with value: 0.8705882352941177 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0935550063484536, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.387226704730274}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:35,283][39m Trial 36 finished with value: 0.8235294117647058 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09874740823764946, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2015361143644845}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:36,550][39m Trial 37 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.014465289738549963, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.17644483438930395}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:43,478][39m Trial 38 finished with value: 0.8505747126436782 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09212834813345042, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.27051745108116965}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:46,391][39m Trial 39 finished with value: 0.8505747126436782 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0849612617449944, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.109967196298683}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:48,133][39m Trial 40 finished with value: 0.7526881720430108 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.06886928769268345, 'depth': 1, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.37749717687929596}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:53,332][39m Trial 41 finished with value: 0.8433734939759037 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09599409161189415, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3973342080017749}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:56,981][39m Trial 42 finished with value: 0.8395061728395061 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09265075439988034, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5201453670910279}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:01,833][39m Trial 43 finished with value: 0.8604651162790697 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08023682342136167, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2565756706218874}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:08,568][39m Trial 44 finished with value: 0.8674698795180722 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0995549444957678, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.38673097318609856}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:14,707][39m Trial 45 finished with value: 0.8705882352941177 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09949552659785811, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.15692650573523362}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:18,653][39m Trial 46 finished with value: 0.7912087912087912 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08361766168036157, 'depth': 2, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.3396839944034307}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:23,990][39m Trial 47 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09517644162653371, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.15016864666376858}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:26,927][39m Trial 48 finished with value: 0.8181818181818182 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.058805827534004596, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.17156427156767748}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:28,471][39m Trial 49 finished with value: 0.7472527472527474 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.028014353050748016, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.81448600620038}. Best is trial 24 with value: 0.8837209302325582.
