[32m[I 2023-04-26 15:44:20,841][39m Trial 36 finished with value: 0.6249999999999999 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:20,904][39m Trial 37 finished with value: 0.6041666666666666 and parameters: {'algorithm': 'brute', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:20,920][39m Trial 38 finished with value: 0.6122448979591836 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 22, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:20,936][39m Trial 39 finished with value: 0.6122448979591836 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 18, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:20,967][39m Trial 40 finished with value: 0.5641025641025641 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 23, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:20,983][39m Trial 41 finished with value: 0.6458333333333333 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:20,998][39m Trial 42 finished with value: 0.6373626373626374 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:21,014][39m Trial 43 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'auto', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:21,030][39m Trial 44 finished with value: 0.6458333333333333 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:21,076][39m Trial 45 finished with value: 0.6526315789473683 and parameters: {'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:21,123][39m Trial 46 finished with value: 0.6105263157894738 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:21,186][39m Trial 47 finished with value: 0.6526315789473683 and parameters: {'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:21,218][39m Trial 48 finished with value: 0.611111111111111 and parameters: {'algorithm': 'brute', 'n_neighbors': 13, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:21,280][39m Trial 49 finished with value: 0.5454545454545454 and parameters: {'algorithm': 'brute', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 14 with value: 0.6526315789473683.
[32m[I 2023-04-26 15:44:21,343][39m Trial 50 finished with value: 0.6458333333333333 and parameters: {'algorithm': 'brute', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.6526315789473683.
