[32m[I 2023-04-26 12:33:03,110][39m Trial 88 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,117][39m Trial 89 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,124][39m Trial 90 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,132][39m Trial 91 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,139][39m Trial 92 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,146][39m Trial 93 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,154][39m Trial 94 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,161][39m Trial 95 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,169][39m Trial 96 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,178][39m Trial 97 finished with value: 0.7706422018348623 and parameters: {'algorithm': 'auto', 'n_neighbors': 30, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,186][39m Trial 98 finished with value: 0.8468468468468469 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,194][39m Trial 99 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,202][39m Trial 100 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,209][39m Trial 101 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,217][39m Trial 102 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,225][39m Trial 103 finished with value: 0.831858407079646 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,232][39m Trial 104 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,239][39m Trial 105 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
